chapter_no,title,subject,exam,exam_group,year,questions,max_question_seen,start_pdf_page,end_pdf_page,toc_pdf_page,printed_page
239,Surgery INI-CET 2024,Surgery,INI-CET,AIIMS/INI-CET,2024,33,33,5112,5126,4639,5111
241,Orthopedics AIIMS 2017,Orthopedics,AIIMS,AIIMS/INI-CET,2017,20,20,5127,5151,5126,5215
242,Orthopedics AIIMS 2018,Orthopedics,AIIMS,AIIMS/INI-CET,2018,12,12,5152,5167,5126,5240
243,Orthopedics AIIMS 2019 (May & Nov),Orthopedics,AIIMS,AIIMS/INI-CET,2019,15,15,5168,5188,5126,5256
244,Orthopedics AIIMS 2020 (May & Nov INI-CET),Orthopedics,AIIMS,AIIMS/INI-CET,2020,15,15,5189,5208,5126,5277
245,Orthopedics NEET 2018,Orthopedics,NEET PG,NEET PG,2018,10,10,5209,5220,5126,5297
246,Orthopedics NEET 2019,Orthopedics,NEET PG,NEET PG,2019,9,9,5221,5240,5126,5309
247,Orthopedics NEET 2020,Orthopedics,NEET PG,NEET PG,2020,6,6,5241,5252,5126,5329
248,Orthopedics INI-CET 2021,Orthopedics,INI-CET,AIIMS/INI-CET,2021,14,14,5253,5276,5126,5341
249,Orthopedics NEET 2021,Orthopedics,NEET PG,NEET PG,2021,6,6,5277,5291,5126,5365
250,Orthopedics INI-CET 2022,Orthopedics,INI-CET,AIIMS/INI-CET,2022,17,17,5292,5321,5126,5380
251,Orthopedics NEET 2022,Orthopedics,NEET PG,NEET PG,2022,7,7,5322,5338,5126,5410
252,Orthopedics NEET 2023,Orthopedics,NEET PG,NEET PG,2023,6,6,5339,5352,5126,5427
253,Orthopedics INI-CET 2023,Orthopedics,INI-CET,AIIMS/INI-CET,2023,11,11,5353,5368,5126,5441
254,Orthopedics INI-CET 2024,Orthopedics,INI-CET,AIIMS/INI-CET,2024,11,11,5369,5380,5126,5457
255,Orthopedics NEET 2024,Orthopedics,NEET PG,NEET PG,2024,16,16,5381,5410,5126,5469
256,Paediatrics AIIMS 2017,Pediatrics,AIIMS,AIIMS/INI-CET,2017,13,13,5411,5427,5410,5498
257,Paediatrics AIIMS 2018,Pediatrics,AIIMS,AIIMS/INI-CET,2018,16,16,5428,5447,5410,5515
258,Paediatrics AIIMS 2019 (May & Nov),Pediatrics,AIIMS,AIIMS/INI-CET,2019,13,13,5448,5465,5410,5535
259,Paediatrics AIIMS 2020 (May & Nov INI-CET),Pediatrics,AIIMS,AIIMS/INI-CET,2020,13,13,5466,5479,5410,5553
260,Paediatrics NEET 2018,Pediatrics,NEET PG,NEET PG,2018,13,13,5480,5495,5410,5567
261,Paediatrics NEET 2019,Pediatrics,NEET PG,NEET PG,2019,17,17,5496,5514,5410,5583
262,Paediatrics NEET 2020,Pediatrics,NEET PG,NEET PG,2020,10,10,5515,5525,5410,5602
